indice_lote,profundidad_llenado,altura_de_alma_precompresión,velocidad_dispositivo_de_llenado,fuerza_de_compresión_principal:_valor_medio,fuerza_de_compresión_principal:_s-rel,precompresión:_valor_medio,altura_de_alma_compresión_principal,PreC VM[kN],CPVM[kN],VM[kp],Friabilidad (%)
1,9.8,3.4,110.0,26.0,10.0,0.0,2.3,5.3035000000000005,29.523000000000003,6.45,0.0025
2,8.9,3.4,110.0,25.0,10.0,0.0,2.33,5.082777777777777,33.715555555555554,6.372222222222223,0.0038
3,9.2,3.4,110.0,24.0,10.0,0.0,2.33,5.988181818181818,27.99136363636364,7.145454545454545,0.0047
4,9.0,3.3,100.0,44.0,10.0,0.0,2.14,4.998125,38.283125,8.41875,0.0068
5,9.7,3.4,105.0,22.0,10.0,0.0,2.35,5.807916666666666,33.348333333333336,9.891666666666667,0.0025
6,9.4,3.4,120.0,23.0,10.0,0.0,2.4,6.20375,20.213125,5.6875,0.0033
7,8.6,3.2,75.0,39.0,10.0,0.0,2.0,10.831153846153846,38.08038461538462,5.957692307692308,0.0066
8,8.9,3.3,110.0,36.0,10.0,0.0,2.14,7.520625,37.6975,5.29375,0.0065
9,8.9,3.3,110.0,40.0,10.0,0.0,2.08,16.563333333333333,51.41333333333333,6.2733333333333325,0.0066
10,8.1,3.0,70.0,0.0,10.0,0.0,1.8,9.758,55.50633333333334,7.046666666666667,0.0075
11,8.6,3.0,60.0,51.0,10.0,0.0,1.8,11.3205,46.3195,7.68,0.0059
12,8.7,2.8,110.0,0.0,10.0,0.0,2.0,15.798,43.41333333333333,5.5,0.0054
13,9.1,2.8,105.0,0.0,10.0,0.0,2.15,10.93214285714286,42.17285714285715,7.021428571428571,0.0032
14,8.8,3.2,115.0,38.0,10.0,0.0,1.98,7.221249999999999,43.26875,5.925,0.0062
15,8.95,3.25,120.0,34.0,10.0,0.0,2.08,5.678666666666667,39.47066666666667,6.533333333333333,0.0033
16,9.2,3.2,50.0,41.0,10.0,0.0,2.0,8.95,42.510714285714286,7.885714285714286,0.0043
17,8.9,3.2,120.0,0.0,10.0,0.0,2.21,7.812857142857142,32.00928571428572,6.9071428571428575,0.0055
18,8.66,3.3,100.0,0.0,10.0,0.0,2.3,7.595714285714286,28.608571428571427,7.371428571428572,0.0045
19,9.1,3.0,50.0,0.0,10.0,0.0,2.5,9.316153846153846,19.32,7.092307692307693,0.0042
20,9.5,3.0,120.0,0.0,10.0,0.0,2.45,10.935714285714283,27.45142857142857,6.271428571428571,0.0037
21,9.55,3.0,120.0,0.0,10.0,0.0,2.3,10.687,26.6495,6.98,0.0027
22,9.4,3.0,120.0,0.0,10.0,0.0,2.5,10.66642857142857,23.325714285714287,6.292857142857143,0.0038
23,9.3,3.4,110.0,29.0,10.0,0.0,2.1,3.4785714285714286,29.535714285714285,7.857142857142857,0.0037
24,9.5,3.0,120.0,0.0,10.0,0.0,2.2,10.344285714285714,33.14714285714286,7.55,0.0026
25,9.5,3.0,120.0,33.0,10.0,0.0,2.24,7.411666666666666,34.2025,6.458333333333333,0.0065
26,9.5,3.2,120.0,26.0,10.0,0.0,2.28,7.305714285714286,30.80642857142857,5.835714285714286,0.0058
27,8.85,3.3,100.0,0.0,10.0,0.0,2.4,7.637142857142857,27.988571428571426,6.6571428571428575,0.0041
28,9.54,3.1,120.0,34.0,10.0,0.0,2.2,12.146428571428572,33.373571428571424,7.242857142857143,0.0051
29,9.1,3.5,110.0,44.0,10.0,0.0,2.1,7.019090909090909,41.53545454545454,10.668181818181818,0.0027
30,9.5,3.4,100.0,0.0,10.0,0.0,2.3,5.72,22.56173913043478,9.843478260869563,0.0027
31,8.0,3.5,100.0,40.0,10.0,0.0,2.5,10.40315789473684,52.6292105263158,7.592105263157895,0.0074
32,,,,,,,,3.48375,27.46625,12.08125,0.0028
33,9.7,3.8,110.0,25.0,10.0,0.0,2.6,3.0705555555555555,27.531111111111112,11.494444444444444,0.0025
34,8.6,3.4,100.0,46.0,10.0,0.0,2.14,7.255833333333332,45.3775,5.529166666666666,0.007
35,9.0,3.5,105.0,36.0,10.0,0.0,2.45,6.826666666666666,39.70166666666667,5.711111111111111,0.0065
36,9.2,3.45,105.0,32.0,10.0,0.0,2.35,6.490625,35.654375,6.975,0.0045
37,9.7,3.5,115.0,31.0,10.0,0.0,2.5,4.626666666666667,30.355,10.988888888888887,0.0034
38,9.7,3.5,110.0,26.0,10.0,0.0,2.5,5.306111111111111,30.547222222222224,12.466666666666669,0.0051
39,10.1,3.7,110.0,26.0,10.0,0.0,2.5,4.596666666666667,26.746190476190478,11.41904761904762,0.0036
40,9.9,3.5,120.0,20.0,10.0,0.0,2.45,4.07,26.136875,11.34375,0.0026
41,8.7,3.5,120.0,30.0,10.0,0.0,2.31,4.83625,28.62,7.03125,0.0035
42,8.9,3.5,120.0,30.0,10.0,0.0,2.25,7.455500000000001,33.7365,6.455,0.0058
43,9.44,3.5,110.0,27.0,10.0,0.0,2.24,5.2675,27.576875,6.8,0.0051
44,9.5,3.5,110.0,31.7,10.0,0.0,2.17,4.84375,30.33,7.10625,0.004
45,9.48,3.5,120.0,32.0,10.0,0.0,2.2,5.172857142857143,31.335,6.185714285714285,0.0039
46,9.9,3.8,120.0,31.7,10.0,0.0,2.35,4.0095,28.273000000000003,10.68,0.0038
47,9.6,3.6,120.0,29.0,10.0,0.0,2.36,4.7695,26.646,10.025,0.0038
48,9.25,3.6,,30.4,10.0,5.4,2.45,4.939285714285715,28.549285714285716,7.121428571428572,0.004
49,9.7,3.8,110.0,29.2,10.0,0.0,2.5,5.475769230769231,27.44,11.069230769230767,0.0029
50,9.7,3.75,110.0,28.0,10.0,0.0,2.46,5.635625,27.2775,11.825,0.0032
51,9.81,3.7,110.0,25.0,10.0,0.0,2.52,4.42576923076923,26.99269230769231,11.526923076923076,0.0042
52,10.0,3.8,95.0,25.0,10.0,0.0,2.45,4.3116666666666665,27.62222222222222,12.511111111111113,0.0046
53,10.2,3.8,100.0,31.0,10.0,0.0,2.38,4.625555555555556,30.24055555555556,13.22222222222222,0.0037
54,10.4,2.8,50.0,0.0,10.0,0.0,1.9,12.130434782608695,71.13913043478261,6.886956521739131,0.0041
55,10.7,3.2,50.0,0.0,10.0,0.0,2.1,4.071428571428571,49.06428571428571,8.592857142857143,0.0025
56,10.0,4.0,50.0,0.0,10.0,0.0,2.1,3.6277777777777778,48.61111111111112,8.411111111111111,0.0036
57,10.55,3.5,,28.7,10.0,5.0,2.6,4.083333333333333,30.416666666666668,7.683333333333334,0.0033
58,10.6,3.5,,0.0,10.0,0.0,2.65,4.541176470588235,26.11764705882353,8.68235294117647,0.0033
59,10.15,3.3,,0.0,10.0,0.0,2.6,4.547368421052632,28.894736842105264,8.642105263157895,0.003
60,9.6,3.2,,20.0,10.0,5.0,2.6,6.366666666666666,22.5,6.311111111111111,0.0035
